id.string	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135
GMNH-V14-597	139.518188476562	73.9116668701172	969.6025390625	139.198043823242	65.1716842651367	979.920715332031	NA	NA	NA	141.234619140625	29.4342079162598	1018.86633300781	141.239471435547	26.3054141998291	1023.80072021484	144.740829467773	-59.900276184082	985.775939941406	143.431015014648	-39.2791976928711	969.042541503906	142.967590332031	-21.9443912506104	966.827331542969	141.816635131836	1.84480226039886	983.726806640625	140.916656494141	17.3974571228027	973.94287109375	140.204025268555	55.5452919006348	974.998779296875	127.520004272461	67.6352462768555	970.540344238281	124.247764587402	65.0732574462891	968.183654785156	122.050155639648	56.9400329589844	967.124084472656	119.280975341797	43.9217681884766	964.692016601562	123.745429992676	17.5710506439209	960.15478515625	130.0712890625	10.3010854721069	965.808654785156	NA	NA	NA	137.080200195312	27.0075664520264	1010.94128417969	124.677658081055	22.9600238800049	1019.34326171875	106.572280883789	13.425443649292	1013.4375	93.2166519165039	-1.13012325763702	982.39892578125	103.04052734375	-10.3084211349487	980.357727050781	128.039215087891	10.2636070251465	987.193908691406	109.896499633789	-28.348596572876	981.904541015625	126.402435302734	-25.2713565826416	969.263305664062	135.716217041016	-32.6414031982422	967.122436523438	134.442459106445	-7.17660093307495	975.705200195312	151.610000610352	68.9549407958984	970.905822753906	155.964889526367	66.0238571166992	968.731567382812	158.085266113281	58.2037315368652	967.499450683594	161.227798461914	46.2846527099609	965.646728515625	158.605026245117	18.9763069152832	960.346618652344	153.061859130859	12.0878734588623	965.828918457031	146.117935180664	48.7597923278809	994.837219238281	145.455978393555	27.7615585327148	1010.27935791016	157.862045288086	25.4322738647461	1019.27429199219	176.747894287109	16.3110637664795	1013.02966308594	190.353866577148	2.6609525680542	980.601928710938	181.235748291016	-6.71869516372681	979.918823242188	156.70295715332	11.629186630249	987.975158691406	176.042221069336	-25.9945068359375	980.452331542969	161.337753295898	-24.2149848937988	968.8583984375	150.890106201172	-31.5661926269531	966.466552734375	149.53239440918	-5.77008771896362	975.756286621094
GMNH-V14-611	139.831451416016	63.6076469421387	928.523742675781	140.178558349609	56.661693572998	940.471252441406	140.862823486328	43.3314437866211	959.251647949219	141.346557617188	18.6252174377441	982.537353515625	141.42170715332	15.6640958786011	986.89013671875	143.500869750977	-72.0425186157227	949.778259277344	142.361999511719	-52.2939262390137	932.650695800781	142.77619934082	-34.3049430847168	929.926574707031	142.303176879883	-10.7951049804688	945.643920898438	141.207382202148	7.55928182601929	936.059631347656	140.4736328125	48.3049926757812	934.678527832031	128.257049560547	58.4509162902832	929.464233398438	125.940849304199	55.4033241271973	929.203735351562	123.384353637695	47.3615341186523	927.033081054688	120.037162780762	36.1795234680176	926.009643554688	124.238372802734	10.0376901626587	922.809875488281	130.452941894531	2.41697072982788	929.132446289062	135.444046020508	40.6471099853516	956.453979492188	137.514144897461	17.4982738494873	974.744506835938	121.50749206543	13.5603532791138	982.096496582031	106.561614990234	5.65419864654541	971.997131347656	93.9205169677734	-9.28741550445557	941.684814453125	102.943984985352	-21.2975807189941	942.154235839844	126.517875671387	2.1445631980896	948.612976074219	109.796562194824	-40.747257232666	943.068725585938	124.355415344238	-38.1991386413574	933.74169921875	134.760208129883	-46.0052261352539	930.060546875	133.879623413086	-19.207202911377	938.976501464844	152.28923034668	59.156494140625	930.174133300781	154.927490234375	56.1134338378906	928.870544433594	158.564437866211	48.0096588134766	927.213012695312	161.150787353516	36.9650650024414	925.302551269531	157.815567016602	10.2310237884521	922.513061523438	152.301010131836	3.01223516464233	928.572265625	146.099060058594	40.9911155700684	957.102478027344	145.229675292969	17.5209999084473	974.496887207031	160.492721557617	15.2193412780762	983.061157226562	178.030014038086	8.44574737548828	971.464721679688	189.504791259766	-8.1687183380127	941.953491210938	180.662155151367	-19.9776382446289	941.5498046875	157.27555847168	2.99117994308472	949.02392578125	175.802032470703	-40.0405235290527	943.206176757812	160.919326782227	-38.1540298461914	933.488891601562	150.7138671875	-45.0239105224609	930.11474609375	151.262084960938	-19.1503486633301	938.841125488281
GMNH-V14-621	123.19847869873	56.198169708252	938.524169921875	123.491928100586	49.8281936645508	945.276428222656	122.616943359375	37.7769775390625	962.216125488281	121.712005615234	17.8248195648193	984.353942871094	121.525581359863	15.7091550827026	988.396850585938	127.142379760742	-63.5210151672363	946.405456542969	126.718193054199	-43.9216842651367	932.399047851562	126.118835449219	-28.253210067749	932.617797851562	124.952491760254	-7.19509172439575	948.859558105469	124.945121765137	9.52273178100586	941.903076171875	123.57048034668	41.0491371154785	942.407409667969	113.212059020996	51.9651031494141	937.997802734375	111.992042541504	50.2050323486328	937.673950195312	108.352416992188	45.3011322021484	935.799560546875	106.472518920898	35.0815658569336	932.774047851562	108.332122802734	10.9199743270874	929.883178710938	114.041091918945	2.41686868667603	933.436157226562	118.15251159668	35.4563026428223	961.02294921875	118.87899017334	16.2229118347168	976.743347167969	105.063484191895	10.7498741149902	983.4873046875	90.0959777832031	4.18737649917603	972.407897949219	82.7392501831055	-8.17572116851807	946.127563476562	89.8059539794922	-16.1623630523682	945.329467773438	109.489189147949	2.7277250289917	954.629150390625	96.8482360839844	-33.9073638916016	944.450073242188	109.83226776123	-32.6261138916016	933.388977050781	119.129318237305	-38.6825256347656	930.887084960938	117.724639892578	-13.4943943023682	942.898315429688	133.813903808594	52.5937309265137	939.79833984375	134.722747802734	51.4080123901367	938.911010742188	139.130126953125	47.2957992553711	937.670654296875	142.795944213867	36.6001853942871	935.421508789062	142.670654296875	12.3224954605103	932.068420410156	137.436538696289	3.80151176452637	935.490356445312	127.796089172363	34.5160713195801	961.886901855469	125.808555603027	16.3924617767334	977.617614746094	138.106643676758	12.8989973068237	986.976196289062	155.813262939453	6.90780353546143	976.682006835938	167.463241577148	-4.44838380813599	951.437683105469	161.060989379883	-14.3887767791748	949.191650390625	139.183807373047	3.92528510093689	955.735778808594	155.034210205078	-33.1164932250977	947.080078125	143.870422363281	-31.4144992828369	935.900085449219	133.529220581055	-37.4187660217285	931.1875	133.099899291992	-12.0172080993652	943.675964355469
GMNH-VM09-45	142.415313720703	70.074951171875	948.881225585938	142.45393371582	62.7769012451172	956.806457519531	142.567138671875	49.9418067932129	977.513366699219	141.144973754883	24.528205871582	999.254211425781	140.872467041016	21.7019195556641	1003.59753417969	144.539154052734	-61.9339370727539	965.875	144.001327514648	-42.0692329406738	947.972717285156	144.090911865234	-26.8040199279785	945.735595703125	142.530502319336	-0.709481596946716	963.652587890625	143.231140136719	15.1777963638306	953.1474609375	143.290130615234	53.5309867858887	952.488342285156	132.418319702148	66.0259094238281	947.073547363281	128.9248046875	62.402172088623	945.251403808594	126.991012573242	55.4621467590332	941.622314453125	125.882537841797	44.1301002502441	940.607971191406	127.009948730469	18.5238819122314	939.7109375	132.855239868164	9.59006977081299	946.463623046875	137.621810913086	48.1236190795898	973.921875	138.672393798828	25.4079895019531	989.280822753906	122.977615356445	19.8745937347412	997.945556640625	107.29271697998	11.7905530929565	985.762023925781	96.2761611938477	3.25278401374817	956.026550292969	105.058967590332	-11.457709312439	954.562072753906	129.066314697266	8.14305782318115	965.337280273438	111.462265014648	-30.3398456573486	957.380798339844	125.975105285645	-28.7241344451904	947.2373046875	136.641815185547	-35.9093589782715	945.107360839844	135.255935668945	-8.19493961334229	955.675903320312	151.904739379883	66.4646987915039	947.947387695312	156.459045410156	64.3229751586914	945.047607421875	158.652359008789	57.8587799072266	942.459899902344	160.857406616211	46.0942344665527	941.310363769531	161.370697021484	20.0572395324707	941.358642578125	155.255706787109	10.8961782455444	948.004821777344	147.707580566406	48.3981399536133	973.859252929688	145.369979858398	25.0149803161621	988.618225097656	159.549942016602	21.1686687469482	999.489501953125	176.140182495117	12.8789520263672	989.321228027344	NA	NA	NA	181.555679321289	-10.5113000869751	958.838806152344	157.113525390625	7.80832195281982	966.703735351562	176.641464233398	-30.7324028015137	960.229064941406	161.398864746094	-28.6284599304199	949.214599609375	152.279342651367	-35.3898811340332	946.280151367188	151.966430664062	-8.25553703308105	956.724609375
GMNH-VM09-457	149.148452758789	68.6413497924805	953.139221191406	148.156051635742	59.5052795410156	963.094482421875	147.787384033203	44.600959777832	981.810607910156	146.462875366211	16.1207408905029	1002.75354003906	145.799301147461	11.522066116333	1008.91619873047	148.932037353516	-72.9535369873047	965.865600585938	149.795776367188	-53.6904602050781	947.992736816406	149.700469970703	-36.4604835510254	944.685852050781	149.115112304688	-8.12741279602051	964.111694335938	148.83479309082	7.9537672996521	954.940368652344	148.67219543457	48.2094459533691	957.296691894531	137.136672973633	65.4649124145508	953.652709960938	132.676574707031	60.8998756408691	950.537170410156	129.182312011719	53.5777130126953	948.29541015625	126.855400085449	42.2822341918945	946.617858886719	130.102386474609	16.8168201446533	941.579345703125	137.416931152344	4.12746381759644	947.058288574219	141.303848266602	43.0553131103516	978.829772949219	142.484344482422	16.8197383880615	995.445373535156	126.896209716797	10.4914512634277	1001.68365478516	110.104194641113	2.96258044242859	991.521911621094	97.2653961181641	-10.5999774932861	955.148559570312	107.645736694336	-17.9595623016357	954.898986816406	132.270370483398	3.7562620639801	969.419128417969	116.153503417969	-38.2166404724121	957.130676269531	130.882781982422	-38.4482803344727	947.327758789062	141.590637207031	-44.7798271179199	944.631530761719	141.197845458984	-16.1623973846436	955.828063964844	160.861175537109	63.8455390930176	954.619201660156	165.059768676758	59.5883903503418	952.759399414062	168.743392944336	52.6640777587891	950.35400390625	170.757720947266	41.6233673095703	948.1376953125	168.472534179688	15.4950370788574	942.101745605469	161.045776367188	3.5806097984314	948.078979492188	154.41975402832	42.8814811706543	979.087280273438	151.637145996094	16.2997283935547	994.742065429688	166.199249267578	10.1354036331177	1003.89691162109	184.052810668945	3.62670755386353	995.183349609375	199.660186767578	-11.9505310058594	959.593566894531	189.16438293457	-18.5133953094482	958.204528808594	164.548004150391	2.84984874725342	970.544982910156	181.334335327148	-39.4696083068848	960.298400878906	167.541839599609	-38.5376586914062	948.598266601562	157.794036865234	-45.5244445800781	945.9443359375	158.094848632812	-17.0515995025635	957.491455078125
GMNH-VM10-348	122.379013061523	66.4235992431641	985.53271484375	122.439674377441	58.6291236877441	995.919860839844	122.934837341309	46.4343719482422	1013.12939453125	124.360961914062	26.8253345489502	1030.33557128906	124.649505615234	23.2868595123291	1034.27197265625	129.925155639648	-53.6748924255371	987.761840820312	128.564361572266	-32.1690521240234	977.61328125	127.249046325684	-15.8300256729126	977.782043457031	126.093147277832	4.75126504898071	994.272766113281	124.583755493164	19.0433368682861	988.274230957031	123.457847595215	50.3348350524902	991.944946289062	111.743728637695	61.1511573791504	986.963500976562	110.441719055176	59.336799621582	986.04296875	107.627243041992	55.1533126831055	984.820434570312	104.937843322754	44.7178726196289	981.585876464844	108.624206542969	19.7842636108398	978.827087402344	113.554397583008	12.3353385925293	981.607421875	118.188491821289	44.4870719909668	1009.83673095703	120.864128112793	26.0107383728027	1022.48156738281	107.69401550293	20.42795753479	1031.14379882812	91.3205871582031	13.5647659301758	1020.68536376953	83.571662902832	3.22515726089478	993.589294433594	90.290283203125	-7.15091943740845	991.452453613281	111.41674041748	11.9587469100952	999.774963378906	97.3057098388672	-23.0689849853516	989.851623535156	111.166488647461	-18.5377254486084	980.503967285156	120.410667419434	-25.4191551208496	977.021362304688	118.923324584961	-2.91887164115906	988.06640625	133.792373657227	62.3707695007324	987.246337890625	135.367126464844	61.0237312316895	986.966186523438	138.947692871094	56.0283584594727	984.960632324219	142.021499633789	46.0984840393066	982.041015625	141.593002319336	21.462474822998	978.227722167969	136.62370300293	13.6609144210815	981.498474121094	127.554527282715	45.4811172485352	1010.26428222656	127.906608581543	26.5669326782227	1022.93072509766	141.99560546875	23.1136837005615	1031.04711914062	158.465682983398	17.2431964874268	1020.72283935547	168.172012329102	6.34889268875122	991.825317382812	162.658508300781	-2.60509753227234	990.040893554688	139.134475708008	13.5266733169556	999.445678710938	157.706466674805	-19.674934387207	988.337524414062	144.877090454102	-17.8835315704346	979.107238769531	135.13786315918	-24.2649898529053	976.058044433594	133.64387512207	-2.173175573349	987.46240234375
GMNH-VM10-427	127.402809143066	69.2776565551758	983.726379394531	127.493881225586	64.2192153930664	990.70654296875	128.52571105957	51.7829246520996	1009.6787109375	129.19563293457	30.6307277679443	1030.34045410156	129.262145996094	27.7787303924561	1034.34997558594	130.885787963867	-52.1994895935059	995.138854980469	130.427963256836	-32.5170288085938	982.453674316406	130.19645690918	-15.9424304962158	980.701599121094	129.643341064453	7.20124387741089	997.388427734375	128.52294921875	22.0358104705811	988.157897949219	128.21891784668	54.445873260498	989.83154296875	116.130767822266	64.0606231689453	985.447326660156	114.721405029297	62.5426750183105	985.1240234375	111.420166015625	56.052677154541	982.707763671875	108.763648986816	45.736026763916	980.447021484375	112.617477416992	19.9373416900635	978.964782714844	116.484283447266	15.7344360351562	981.588745117188	123.102317810059	50.2302131652832	1005.6904296875	126.506118774414	31.4039497375488	1022.54437255859	113.717987060547	24.7129173278809	1032.0380859375	98.2624664306641	19.6562671661377	1021.70013427734	87.6344146728516	8.55709934234619	996.338562011719	94.7653961181641	-1.41169893741608	995.342163085938	115.625793457031	16.1938228607178	1000.79162597656	100.808937072754	-19.3399868011475	993.848510742188	113.369285583496	-19.281665802002	983.382141113281	122.663749694824	-26.1043224334717	979.904235839844	122.37247467041	-0.910279631614685	989.4306640625	139.072784423828	64.3750610351562	985.31396484375	141.307266235352	63.1417617797852	984.544311523438	144.463760375977	56.4349937438965	981.251892089844	146.572235107422	46.2144165039062	979.226989746094	144.38151550293	19.8617725372314	979.018920898438	140.516738891602	15.893798828125	980.803466796875	133.504653930664	51.0625953674316	1006.35083007812	131.618362426758	31.4585628509521	1021.89459228516	145.088806152344	26.000696182251	1031.31335449219	160.771011352539	21.3777923583984	1019.22290039062	170.426498413086	9.86686515808105	993.808288574219	164.498123168945	0.194366171956062	992.366638183594	143.317977905273	17.2457885742188	999.932189941406	159.81135559082	-19.0268001556396	992.291687011719	147.925415039062	-19.1764125823975	983.325439453125	137.81379699707	-24.6171817779541	978.799987792969	137.621963500977	-0.342560768127441	989.781555175781
GMNH-VM11-16	137.614669799805	57.6543312072754	935.213439941406	137.233993530273	51.993968963623	943.159851074219	136.323165893555	38.4860992431641	960.190368652344	134.399749755859	12.9276342391968	980.691589355469	134.00244140625	9.64989471435547	984.571350097656	135.459838867188	-71.334228515625	943.23388671875	137.610916137695	-51.1364860534668	926.400756835938	138.331344604492	-32.2310600280762	924.120300292969	136.187255859375	-10.2752542495728	943.235717773438	136.888046264648	5.57690238952637	936.147766113281	137.392471313477	41.1335563659668	938.307495117188	126.200004577637	53.4739379882812	934.990783691406	123.84496307373	52.2455825805664	934.111633300781	120.303512573242	45.0235061645508	931.479248046875	118.429847717285	34.3616027832031	927.345397949219	120.76490020752	8.19897270202637	923.507019042969	125.421669006348	1.80534601211548	928.199951171875	131.48274230957	37.8122863769531	957.398010253906	131.048217773438	14.2539100646973	972.252258300781	117.308288574219	9.97084426879883	979.218505859375	100.36360168457	0.47201144695282	968.820861816406	88.3321990966797	-8.5401201248169	936.524780273438	97.1411895751953	-19.1345920562744	934.120361328125	121.206253051758	1.27299010753632	947.53466796875	103.956504821777	-38.0172119140625	936.111267089844	118.29517364502	-36.7304840087891	925.951721191406	130.114898681641	-42.7578125	921.198364257812	128.451202392578	-17.0289402008057	935.275451660156	149.553009033203	53.5645027160645	936.1572265625	152.452789306641	52.0269622802734	935.769836425781	155.740493774414	43.9822425842285	933.688781738281	157.901824951172	33.7651100158691	929.046875	154.547088623047	7.72308111190796	925.721008300781	149.144485473633	1.37233316898346	929.259094238281	141.260620117188	36.8710289001465	957.819702148438	138.959930419922	14.687933921814	972.371215820312	152.521682739258	9.40291595458984	980.891723632812	170.691131591797	0.781228363513947	971.981018066406	184.49169921875	-7.8294882774353	941.788269042969	175.649230957031	-18.2972011566162	939.022766113281	151.620132446289	1.05998873710632	949.207580566406	169.518951416016	-38.1610412597656	940.202270507812	157.163726806641	-36.3915328979492	927.318969726562	145.820129394531	-43.2467002868652	923.369079589844	146.401062011719	-16.3456325531006	936.867309570312
GMNH-VM12-388	145.811584472656	62.5298004150391	926.064819335938	145.098297119141	54.5124664306641	934.133239746094	146.526290893555	34.4135818481445	951.506530761719	148.211334228516	11.7897691726685	973.51220703125	148.364700317383	9.17089653015137	977.091430664062	148.703598022461	-74.1293869018555	933.859741210938	148.713394165039	-51.9297790527344	918.51171875	148.575469970703	-35.4449844360352	917.275207519531	148.132797241211	-13.684983253479	935.642028808594	147.380172729492	2.39925098419189	929.120300292969	145.095504760742	42.600944519043	929.320617675781	132.86604309082	59.0790405273438	925.862854003906	128.865753173828	54.4650955200195	923.023620605469	126.035186767578	48.0630531311035	921.671997070312	125.142562866211	34.8405990600586	918.800659179688	129.735931396484	7.65177011489868	914.329040527344	135.920562744141	-0.77209734916687	919.894714355469	140.827835083008	34.9807815551758	949.237121582031	144.655059814453	11.4309320449829	963.741760253906	130.169097900391	6.9868426322937	974.146057128906	112.591857910156	0.291801154613495	964.20166015625	100.819641113281	-12.5305585861206	932.515502929688	108.809555053711	-22.5539951324463	931.029296875	134.091949462891	-3.9390139579773	941.668701171875	116.55419921875	-39.3919258117676	929.456176757812	131.257507324219	-38.964714050293	920.369262695312	140.964065551758	-44.2130279541016	916.875732421875	140.515747070312	-19.9941692352295	929.693969726562	157.334274291992	57.6279373168945	924.848754882812	161.699020385742	54.621166229248	923.307189941406	163.962677001953	48.5273170471191	920.803588867188	166.523056030273	35.5899543762207	918.089904785156	165.606231689453	8.11702537536621	912.995544433594	159.427291870117	-0.998973369598389	920.071960449219	150.831802368164	34.1393280029297	948.122131347656	151.81787109375	12.1826162338257	963.841003417969	166.048614501953	7.87736988067627	973.154235839844	183.810241699219	1.49801802635193	963.262084960938	195.751876831055	-10.5696640014648	930.331420898438	187.735610961914	-21.7738552093506	930.834655761719	163.680023193359	-4.44675874710083	941.296447753906	180.989929199219	-39.8675193786621	928.260620117188	166.572021484375	-38.2146453857422	920.093994140625	156.068466186523	-44.5115432739258	917.583435058594	155.740814208984	-20.7127723693848	928.383178710938
GMNH-VM12-450	127.935447692871	66.0261001586914	935.125732421875	128.493194580078	61.1659317016602	943.784423828125	128.599746704102	47.0211219787598	963.795593261719	128.844680786133	24.8368701934814	983.171936035156	128.805389404297	22.2490692138672	987.5146484375	133.865203857422	-60.3356628417969	949.895202636719	132.857772827148	-41.6393928527832	935.503845214844	131.780258178711	-24.8061408996582	933.221923828125	130.600296020508	-0.486971944570541	949.014099121094	130.537139892578	14.7811403274536	940.471618652344	129.068954467773	49.6434783935547	942.050964355469	117.324279785156	61.2482147216797	936.717895507812	115.356880187988	57.5063362121582	935.641479492188	112.831275939941	52.1051445007324	933.945068359375	109.80192565918	40.9493827819824	932.392211914062	113.216567993164	15.3750295639038	929.124755859375	119.474220275879	7.20242834091187	932.92041015625	124.45361328125	44.74609375	962.05029296875	125.752975463867	24.6904678344727	976.039123535156	112.300559997559	20.2014560699463	983.323364257812	96.5484771728516	11.2928314208984	972.703857421875	87.2729568481445	-1.87706255912781	945.101196289062	95.7411727905273	-11.7633275985718	944.916809082031	116.4609375	8.2750997543335	951.949096679688	102.501808166504	-29.9611473083496	944.108032226562	115.797424316406	-28.8807163238525	934.480285644531	124.839996337891	-35.20703125	933.407287597656	124.16650390625	-9.26074028015137	941.226623535156	139.174591064453	62.5299339294434	936.567565917969	142.225067138672	58.6904525756836	936.072143554688	145.169036865234	53.1864204406738	934.395690917969	150.032379150391	42.0137634277344	934.011413574219	148.082733154297	15.974907875061	930.1796875	142.255218505859	8.32882499694824	933.5107421875	133.751007080078	45.1301727294922	961.644104003906	132.637161254883	24.8032188415527	975.70458984375	145.456161499023	22.1432437896729	983.973022460938	162.896606445312	14.5549077987671	974.253234863281	173.783477783203	0.593288004398346	946.266967773438	165.819732666016	-8.38103294372559	946.652221679688	145.065902709961	9.79491519927979	952.852355957031	160.605911254883	-26.6601066589355	945.161254882812	147.657958984375	-26.981538772583	935.445617675781	140.124267578125	-33.4157562255859	932.771301269531	137.693557739258	-7.98016452789307	941.94970703125
